eo,dv,var,coef,se,n
1,paper_is_top_5,log_longest_path_length_causal,0.030142771968645673,0.006243089863991501,35786
1,paper_is_top_5,log_longest_path_length_non_causal,0.011299600112114037,0.005336271282833971,35786
1,transformed_coalesced_cites,log_longest_path_length_causal,0.21023117847178568,0.025593990692237105,34636
1,transformed_coalesced_cites,log_longest_path_length_non_causal,-0.03813141117712718,0.022231659675838355,34636
1,paper_is_top_5,log_num_unique_paths_causal,0.01604880485772558,0.0031301359268236847,35786
1,paper_is_top_5,log_num_unique_paths_non_causal,0.004134333078204513,0.0020264696929951555,35786
4,paper_is_top_5,log_longest_path_length_causal,0.03618197239501319,0.015291557404444827,32901
4,paper_is_top_5,log_longest_path_length_non_causal,0.014413964565996107,0.006552882043684336,32901
4,transformed_coalesced_cites,log_longest_path_length_causal,0.20352782131556707,0.062445512654866586,32136
4,transformed_coalesced_cites,log_longest_path_length_non_causal,0.10626665523352258,0.026839064700885384,32136
4,paper_is_top_5,log_num_unique_paths_causal,0.032929098872349634,0.01165724528312047,32901
4,paper_is_top_5,log_num_unique_paths_non_causal,0.00414563364821948,0.0030901111981127775,32901
9,paper_is_top_5,log_longest_path_length_causal,0.03749633433562247,0.07877968545764209,7304
9,paper_is_top_5,log_longest_path_length_non_causal,0.006490126837113961,0.012459804451108239,7304
9,transformed_coalesced_cites,log_longest_path_length_causal,0.5763387579580995,0.320846784573213,7170
9,transformed_coalesced_cites,log_longest_path_length_non_causal,0.14855315406348035,0.050453642054473835,7170
9,paper_is_top_5,log_num_unique_paths_causal,0.033694585536561905,0.07697126693236517,7304
9,paper_is_top_5,log_num_unique_paths_non_causal,-0.005126511032320444,0.009469635021924888,7304
