method,year,pct
DiD,1980,10.457516339869281
DiD,1990,8.203125
DiD,2000,8.016877637130802
DiD,2010,14.421123899796887
DiD,2020,20.056899004267425
DiD,2023,20.32854209445585
IV,1980,3.2679738562091507
IV,1990,1.953125
IV,2000,3.375527426160337
IV,2010,8.192281651997293
IV,2020,8.143669985775249
IV,2023,7.597535934291582
RCT,1980,0.0
RCT,1990,0.0
RCT,2000,0.8438818565400843
RCT,2010,3.3175355450236967
RCT,2020,6.116642958748222
RCT,2023,8.008213552361395
RDD,1980,1.3071895424836601
RDD,1990,0.390625
RDD,2000,0.42194092827004215
RDD,2010,1.6926201760324981
RDD,2020,2.1337126600284493
RDD,2023,2.515400410677618
Theoretical,1980,50.98039215686274
Theoretical,1990,59.375
Theoretical,2000,48.38255977496484
Theoretical,2010,36.08666215301287
Theoretical,2020,28.52062588904694
Theoretical,2023,28.02874743326489
Simulation,1980,7.18954248366013
Simulation,1990,4.296875
Simulation,2000,3.375527426160337
Simulation,2010,3.5206499661475967
Simulation,2020,4.409672830725462
Simulation,2023,3.1314168377823406
