,prop_edges_causal,log_num_edges_causal,log_num_new_edges_causal,mean_eigen_centrality_RelCumLit_causal,cause_effect_ratio_causal,log_num_edges_non_causal,log_num_new_edges_non_causal,mean_eigen_centrality_RelCumLit_non_causal,cause_effect_ratio_non_causal
prop_edges_causal,1.0,0.9348493942956458,0.2784004987747353,0.0472507184553884,-0.009181995059995897,-0.8031686831775081,-0.15296462322933088,0.006898886452966465,-0.05056385413854027
log_num_edges_causal,0.9348493942956458,1.0,0.5664718571918466,0.06959810321445076,-0.022463428481996277,-0.7023942363627309,-0.12674208694619205,0.007352009329449048,-0.03971411950371417
log_num_new_edges_causal,0.2784004987747353,0.5664718571918466,1.0,-0.3294569792726741,0.0002318392843703558,-0.2123857546735858,0.1236311663924299,-0.17490233799466587,-0.008523838454698788
mean_eigen_centrality_RelCumLit_causal,0.0472507184553884,0.06959810321445076,-0.3294569792726741,1.0,-0.10967597664237995,-0.04431513795538769,-0.2009108952714303,0.36474306388003347,-0.018958140157773973
cause_effect_ratio_causal,-0.009181995059995897,-0.022463428481996277,0.0002318392843703558,-0.10967597664237995,1.0,0.02195362245998705,0.004666086290790776,0.00012334759505909114,0.08038564156812453
log_num_edges_non_causal,-0.8031686831775081,-0.7023942363627309,-0.2123857546735858,-0.04431513795538769,0.02195362245998705,1.0,0.43792037876721973,0.042134941765596436,0.14406634561226841
log_num_new_edges_non_causal,-0.15296462322933088,-0.12674208694619205,0.1236311663924299,-0.2009108952714303,0.004666086290790776,0.43792037876721973,1.0,-0.40525897953587847,0.01928408770063398
mean_eigen_centrality_RelCumLit_non_causal,0.006898886452966465,0.007352009329449048,-0.17490233799466587,0.36474306388003347,0.00012334759505909114,0.042134941765596436,-0.40525897953587847,1.0,-0.0360807866309351
cause_effect_ratio_non_causal,-0.05056385413854027,-0.03971411950371417,-0.008523838454698788,-0.018958140157773973,0.08038564156812453,0.14406634561226841,0.01928408770063398,-0.0360807866309351,1.0
